ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
OL000083,Platform,0,MOORING MESCALE FLANKING B SOUTHERN,WHOI,GS03FLMB,GS03FLMB-00002,,,,
OL000091,Platform,0,MOORING Argentine OS,WHOI,GA01SUMO,GA01SUMO-00002,,,,
OL000105,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GA03FLMB,GA03FLMB-00002,,,,
OL000222,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSM,CP01CNSM-00005,,,,
OL000237,Platform,0,MOORING PIONEER CI PROFILER,WHOI,CP02PMCI,CP02PMCI-00005,,,,
OL000240,Platform,0,MOORING PIONEER PROFILER,WHOI,CP02PMCO,CP02PMCO-00006,,,,
OL000243,Platform,0,MOORING PIONEER  PROFILER,WHOI,CP02PMUI,CP02PMUI-00007,,,,
OL000249,Platform,0,MOORING PIONEER  PROFILER,WHOI,CP02PMUO,CP02PMUO-00007,,,,
OL000251,Platform,0,MOORING PIONEER  PROFILER,WHOI,CP04OSPM,CP04OSPM-00005,,,,
OL000253,Platform,0,MOORING PIONEER IS SURFACE,WHOI,CP03ISSM,CP03ISSM-00004,,,,
OL000269,Platform,0,MOORING PIONEER IS PIERCING PROFILER,WHOI,CP03ISSP,CP03ISSP-00004,,,,
OL000271,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSSM,CP04OSSM-00004,,,,
OL000287,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00004,,,,
OL000288,Platform,0,MOORING ENDURANCE PROFILER,WHOI,CE09OPSM,CE09OSPM-00005,,,,
OL000291,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE01ISSM,CE01ISSM-00005,,,,
OL000316,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE02SHSM,CE02SHSM-00003,,,,
OL000329,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00005,,,,
OL000385,Platform,0,MOORING ENDURANCE OS SURFACE,WHOI,CE04OSSM,CE04OSSM-00002,,,,
OL000397,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE06ISSM,CE06ISSM-00004,,,,
OL000429,Platform,0,MOORING ENDURANCE SHELF SM,,CE07SHSM-00003,CE07SHSM-00003,,,,
OL000469,Platform,0,MOORING ENDURANCE OS SURFACE,WHOI,CE09OSSM,CE09OSSM-00004,,,,
OL000580,Platform,0,HYBRID PROFILER STATION PAPA,WHOI,HYBRID,GP02HYPM-00004,,,,
OL000582,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GP03FLMA,GP03FLMA-00004,,,,
OL000585,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GP03FLMB,GP03FLMB-00004,,,,
OL000586,Platform,0,MOORING Iminger OS,WHOI,GI01SUMO,GI01SUMO-00002,,,,
OL000597,Platform,0,MOORING Iminger OS,WHOI,GI02HYPM,GI02HYPM-00003,,,,
OL000601,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GI03FLMA,GI03FLMA-00003,,,,
OL000603,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GI03FLMB,GI03FLMB-00003,,,,
OL000611,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE06ISSP,CE06ISSP-00005,,,,
OL000617,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00006,,,,
OL000618,Platform,0,MOORING ENDURANCE OS,WHOI,CE02SHSP,CE02SHSP-00002,,,,
RM00001,Platform,0,MOORING PIONEER CI PROFILER,WHOI,CP02PMCI,CP02PMCI-00006,,,,
RM00002,Platform,0,MOORING PIONEER CI PROFILER,WHOI,CP02PMCI,CP02PMCI-00007,,,,
