ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO
CGINS-VEL3DL-01024,N00607,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for ML12936-02,Falmouth Scientific,ACM-Plus,1024,,20130320,,,
CGINS-VEL3DL-01025,N00173,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,3-D Single Point Velocity Meter,Falmouth Scientific,ACM-Plus,1025,,,,,
CGINS-VEL3DL-01026,N00615,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for ML12997-01,Falmouth Scientific,ACM-Plus,1026,,20130320,,,
CGINS-VEL3DL-01108,OL000581,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D Series L,Falmouth Scientific,ACM-Plus,1108,,,,,
CGINS-VEL3DL-01109,N00116,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for WFP Coastal ML13104-01,Falmouth Scientific,ACM-Plus,1109-ML13104-01D,,20140115,,,
CGINS-VEL3DL-01110,N00130,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for WFP Coastal ML13104-04,Falmouth Scientific,ACM-Plus,1110-ML13104-04D,,20140925,,,
CGINS-VEL3DL-01115,N00619,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for ML13104-03,Falmouth Scientific,ACM-Plus,1115,,20140115,,,
CGINS-VEL3DL-01116,N00659,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for WFP Coastal ML13104-05,Falmouth Scientific,ACM-Plus,1116,,20140402,,,
CGINS-VEL3DL-01117,N00169,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for WFP Coastal ML13104-06,Falmouth Scientific,ACM-Plus,1117-ML13104-04D,,20140925,,,
CGINS-VEL3DL-01118,N00663,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for WFP Coastal ML13104-07,Falmouth Scientific,ACM-Plus,1118,,20140925,,,
CGINS-VEL3DL-01253,OL000044,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D Series L,Falmouth Scientific,ACM-Plus,1253,,,,,
CGINS-VEL3DL-01254,OL000056,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D Series L,Falmouth Scientific,ACM-Plus,1254,,,,,
CGINS-VEL3DL-01255,OL000053,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D Series L,Falmouth Scientific,ACM-Plus,1255,,,,,
CGINS-VEL3DL-01256,OL000040,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D Series L,Falmouth Scientific,ACM-Plus,1256,,,,,
CGINS-VEL3DL-13551,N00611,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series L,VEL3D for ML13104-02,Falmouth Scientific,ACM-Plus,A13551,,20140115,,,
CGINS-VELPTA-06325,A00579,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 6325,,20130916,8500,,
CGINS-VELPTA-06326,A00580,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 6326,,20130916,8500,,
CGINS-VELPTA-06327,A00578,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 6327,,20130916,8500,,
CGINS-VELPTA-08381,A00236,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 8381,,20121217,8500,,
CGINS-VELPTA-08399,A00238,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 8399,,20121217,8500,,
CGINS-VELPTA-08532,A00115,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 8532,3.35,20121214,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-08535,A00239,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 8535,,20121217,8500,,
CGINS-VELPTA-08539,A00237,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 8539,,20121217,8500,,
CGINS-VELPTA-08544,A00116,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 8544,3.35,20121214,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-08550,A00117,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD8550,3.35,20121204,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11377,A00410,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 11377,3.35,20130916,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11380,N00414,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11380,,20130917,8500,,
CGINS-VELPTA-11382,A00411,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 11382,3.35,20150604,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11386,A00412,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 11386,3.35,20150604,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11397,A00415,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11397,3.35,20130917,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11398,N00413,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11398,,20130917,8500,,
CGINS-VELPTA-11401,OL000293,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11401,,,,,
CGINS-VELPTA-11402,A00416,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11402,3.35,20130917,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11405,N00418,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11405,,20130917,8500,,
CGINS-VELPTA-11412,A00417,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11412,3.35,20130917,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11417,A00418,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11417,3.35,20150604,8500,,Woods Hole Oceanographic Institution
CGINS-VELPTA-11748,A01021,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 300M),Nortek,Aquadopp,AQD 11748,,20130916,8650,,
CGINS-VELPTA-11768,N00421,Sensor,0,Single Point Velocity Meter: VELPT Series A,VELPT SERIES A (AQUADOPP 400M),Nortek,Aquadopp,AQD 11768,,20130917,8500,,
