OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00081,WAVSS SERIES A (TRIAXYS NW),1,AXYS TECHNOLOGIES,TRIAXYX NW,4581,1.01.0682,J100022,WHOI,ATS,,F,20130726,22000,100%,Missing from inventory,20130726,WHOI,,,,,9/4/2015,DOI,
A00082,CTDBP SERIES C (C-16PLUSV2),1,SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71174-7208,2.5,J100018,WHOI,ATS,SEA,A,20150604,11150,100%,,20150604,WHOI,115127,,,,9/4/2015,DOI,
A00083,CTDBP SERIES D (D-16PLUSV2),1,SEA-BIRD ELECTRONICS,D-16PLUSV2,16P71174-7209,2.5,J100018,WHOI,ATS,SEA,A,20121102,11150,100%,,20121102,WHOI,115128,,,,9/4/2015,DOI,
A00084,FLORT SERIES D (ECO TRIPLET-W),1,Wet Labs,BBFL2W ECO TRIPLET-W,994,5.2,J100028,WHOI,ATS,SEA,A,20150604,12634.25,100%,,20150604,WHOI,115129,,,,9/4/2015,DOI,
A00085,FLORT SERIES D (ECO TRIPLET-W),1,Wet Labs,BBFL2W ECO TRIPLET-W,993,5.2,J100028,WHOI,ATS,SEA,A,20150604,12634.25,100%,,20150604,WHOI,115130,,,,9/4/2015,DOI,
A00086,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,243,,J100017,WHOI,UNV,OSU,A,20121109,35182.98,100%,,20121109,WHOI,115131,11/9/2012,OSU,325042,9/4/2015,DOI,
A00087,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,244,,J100017,WHOI,UNV,OSU,A,20121109,35182.98,100%,,20121109,WHOI,115132,11/9/2012,OSU,325043,9/4/2015,DOI,
A00088,ADCP SERIES G (WHS150-1500),1,TELEDYNE RDI,WHS150-1500-I,19336,50.4,J100016,WHOI,LOSO,HIBA,A,20150713,40522.8,100%,,20150713,WHOI,115135,,,,9/4/2015,DOI,
A00089,ADCP SERIES G (WHS150-1500),1,TELEDYNE RDI,WHS150-1500-I,18660,50.4,J100016,WHOI,LOSO,HIBA,A,20121114,40522.8,100%,,20121114,WHOI,115133,,,,9/4/2015,DOI,
A00090,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00091,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00092,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR507-ICSW,229,3.0A,J100024,WHOI,LOSO,102,A,20121119,12682,100%,,20121119,WHOI,115140,,,,9/4/2015,DOI,
A00093,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR507-ICSW,230,3.0A,J100024,WHOI,ATS,SEA,A,20121119,12682,100%,,20121119,WHOI,115141,,,,9/4/2015,DOI,
A00094,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR507-ICSW,231,,J100024,WHOI,UNV,OSU,A,20121119,12682,100%,,20121119,WHOI,115142,11/19/2012,OSU,325053,9/4/2015,DOI,
A00095,SPKIR SERIES B (OCR507-ICSW),1,SATLANTIC,OCR507-ICSW,232,,J100024,WHOI,UNV,OSU,A,20121119,12682,100%,,20121119,WHOI,115143,11/19/2012,OSU,325054,9/4/2015,DOI,
A00096,PHSEN SERIES D (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0068,54,J100015,WHOI,ATS,SEA,A,20150604,18375,100%,,20150604,WHOI,115147,,,,9/4/2015,DOI,
A00097,PHSEN SERIES D (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0069,54,J100015,WHOI,ATS,SEA,A,20121126,18375,100%,,20121126,WHOI,115148,,,,9/4/2015,DOI,
A00098,OPTAA SERIES D (AC-S),1,Wet Labs,AC-S,ACS-123,1.1,J100029,WHOI,LOSO,HIBA,A,20121203,37830,100%,,20121203,WHOI,115151,,,,9/4/2015,DOI,
A00099,BUOYANCY BASIN,1,M&W FIBERGLASS INC,OSU CONSTRUCTED,N/A,,A100653,WHOI,UNV,OSU,A,20120501,7184.03,100%,,20120501,WHOI,115159,5/1/2012,OSU,324606,,,
A00100,BOUY SYSTEM CART POP UP,1,ORE OFF SHORE,POPUP,34842,,A100653,WHOI,UNV,OSU,A,20110705,6983.74,100%,,20110705,WHOI,115160,7/6/2011,OSU,324102,,,
A00101,COASTAL GLIDER 200M,1,TELEDYNE WEBB RESEARCH,CSG-0200,319,,J100005A,WHOI,UNV,OSU,A,20121206,186935,100%,,20121206,WHOI,115163,12/6/2012,OSU,325081,,,
A00102,COASTAL GLIDER 1000M,1,TELEDYNE WEBB RESEARCH,CSG-1000,320,,J100005A,WHOI,UNV,OSU,A,20121206,186935,100%,,20121206,WHOI,115164,12/6/2012,OSU,325082,,,
A00103,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10214,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115166,1/10/2013,SIO,126085166,9/4/2015,DOI,
A00104,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10215,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115167,1/10/2013,SIO,126085167,9/4/2015,DOI,
A00105,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10216,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115168,1/10/2013,SIO,126085168,9/4/2015,DOI,
A00106,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10217,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115169,1/11/2013,SIO,126085169,9/4/2015,DOI,
A00107,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10218,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115170,1/11/2013,SIO,126085170,9/4/2015,DOI,
A00108,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10219,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115171,1/11/2013,SIO,126085171,9/4/2015,DOI,
A00109,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10220,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115172,1/11/2013,SIO,126085172,9/4/2015,DOI,
A00110,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10221,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115173,1/11/2013,SIO,126085173,9/4/2015,DOI,
A00111,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10222,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115174,1/11/2013,SIO,126085174,9/4/2015,DOI,
A00112,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10223,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115175,1/11/2013,SIO,126085175,9/4/2015,DOI,
A00113,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10224,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115176,1/11/2013,SIO,126085176,9/4/2015,DOI,
A00114,CTDMO SERIES G (37IM),1,SEA-BIRD ELECTRONICS,SBE-37M,37-10225,,J100027,WHOI,ATS,SEA,A,20121212,6400,100%,,20121212,WHOI,115177,1/11/2013,SIO,126085177,9/4/2015,DOI,
A00115,VELPT SERIES A (AQUADOPP 300M),1,NORTEK,AQUADOPP 300M,AQD 8532,3.35,J100033,WHOI,LOSO,103,A,20121214,8500,100%,,20121214,WHOI,115179,,,,9/4/2015,DOI,
A00116,VELPT SERIES A (AQUADOPP 300M),1,NORTEK,AQUADOPP 300M,AQD 8544,3.35,J100033,WHOI,LOSO,103,A,20121214,8500,100%,,20121214,WHOI,115180,,,,9/4/2015,DOI,
A00117,VELPT SERIES A (AQUADOPP 300M),1,NORTEK,AQUADOPP 300M,AQD 8550,3.35,J100033,WHOI,ATS,SEA,A,20121204,8500,100%,,20121204,WHOI,115181,,,,9/4/2015,DOI,
A00118,PHSEN SERIES E (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0071,54,J100015,WHOI,LOSO,202,A,20121226,19655,100%,,20121226,WHOI,115197,,,,9/4/2015,DOI,
A00119,PHSEN SERIES E (SAMI-PH),1,Sunburst Sensors,SAMI-PH,P0070,54,J100015,WHOI,ATS,SEA,A,20121226,19655,100%,,20121226,WHOI,115198,,,,9/4/2015,DOI,
A00120,METBK CTD MODULE,1,SEA-BIRD ELECTRONICS,SBE-37SM,37-11000,,D100188,WHOI,LOSO,202,A,20121226,5816,100%,,20121226,WHOI,115199,,,,9/4/2015,DOI,
A00121,METBK CTD MODULE,1,SEA-BIRD ELECTRONICS,SBE-37SM,37-11001,,D100188,WHOI,LOSO,102,A,20150604,5816,100%,,20150604,WHOI,115200,,,,9/4/2015,DOI,
A00122,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,253,,J100042,WHOI,UNV,OSU,A,20121227,34464.96,100%,,20121227,WHOI,115201,12/27/2012,OSU,325138,9/4/2015,DOI,
A00123,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,254,,J100042,WHOI,UNV,OSU,A,20121227,34464.96,100%,,20121227,WHOI,115202,12/27/2012,OSU,325139,9/4/2015,DOI,
A00124,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,255,,J100042,WHOI,UNV,OSU,A,20121227,34464.96,100%,,20121227,WHOI,115203,12/27/2012,OSU,325140,9/4/2015,DOI,
A00125,NUTNR SERIES B (ISUS),1,SATLANTIC,ISUS,256,,J100042,WHOI,UNV,OSU,A,20121227,34464.96,100%,,20121227,WHOI,115204,12/27/2012,OSU,325141,9/4/2015,DOI,
A00126,CTDBP SERIES C (C-16PLUSV2),1,SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71879-7240,,J100036,WHOI,UNV,OSU,A,20121227,11150,100%,,20121227,WHOI,115206,12/27/2012,OSU,325119,9/4/2015,DOI,
