,RefDes,Method,Stream,pdId,Parameter Name,Units,Data Product Identifier,Level,Gross Range Values
910,GA01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
913,GA01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
916,GA01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
918,GI01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
920,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
923,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
926,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
929,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
932,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(0.0, 6.0)"
938,GS01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
942,GS01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2821,ctdbp_seawater_conductivity,S m-1,CONDWAT_L1,L1,"(None, None)"
