ASSET_UID,TYPE,Mobile,Geometry,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
ATAPL-68872-00004,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,4,N/A,111213012,O.L.,UW,VISIONS2014,A,20120313,32078,100%,,20120313,UW,N/A,,,,,,
ATAPL-68872-00005,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,5,N/A,111213012,O.L.,UW,VISIONS2014,A,20120313,32078,100%,,20120313,UW,N/A,,,,,,
ATAPL-68872-00006,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,6,N/A,111213012,O.L.,UW,BH:1F123:CS1A,A,20120315,32078,100%,,20120315,UW,N/A,,,,,,
ATAPL-68872-00007,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68872,7,N/A,111213012,O.L.,UW,VISIONS2014,A,20120316,32078,100%,,20120316,UW,N/A,,,,,,
ATAPL-68873-00001,,,,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",,APL/UW,68873,4815-68873,N/A,120904015,O.L.,UW,VISIONS2014:MJ03F,A,20121219,32078,100%,,20121219,UW,N/A,,,,,,
ATAPL-68941-00001,,,,"CONNECTOR END CAP, PIC",,APL/UW,68941,1,N/A,120904015,O.L.,UW,VISIONS2014:MJ03E,A,20121219,32078,100%,,20121219,UW,N/A,,,,,,
ATAPL-68941-00002,,,,"CONNECTOR END CAP, PIC",,APL/UW,68941,2,N/A,120904015,O.L.,UW,VISIONS2014:MJ03E,A,20121219,32078,100%,,20121219,UW,N/A,,,,,,
ATAPL-68941-00003,,,,"CONNECTOR END CAP, PIC",,APL/UW,68941,3,N/A,120904015,O.L.,UW,SP:HEO2:P2,A,20121219,32078,100%,,20121219,UW,N/A,,,,,,
ATAPL-68941-00004,,,,"CONNECTOR END CAP, PIC",,APL/UW,68941,4,N/A,120904015,O.L.,UW,SP:HEO2:P1,A,20121219,32078,100%,,20121219,UW,N/A,,,,,,
ATAPL-68941-00005,,,,"CONNECTOR END CAP, PIC",,APL/UW,68941,5,N/A,120904015,O.L.,UW,VISIONS2014:MJ03A,A,20121220,32078,100%,,20121220,UW,N/A,,,,,,
